username,repository_name,stars,repository_url
mrdoob,three.js,105000,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,28600,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,23900,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,23900,https://github.com/BabylonJS/Babylon.js
FreeCAD,FreeCAD,23700,https://github.com/FreeCAD/FreeCAD
ssloy,tinyrenderer,21600,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,18500,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,17000,https://github.com/aframevr/aframe
blender,blender,14700,https://github.com/blender/blender
CesiumGS,cesium,13500,https://github.com/CesiumGS/cesium
4ian,GDevelop,13500,https://github.com/4ian/GDevelop
isl-org,Open3D,12100,https://github.com/isl-org/Open3D
MonoGame,MonoGame,11900,https://github.com/MonoGame/MonoGame
mapbox,mapbox-gl-js,11500,https://github.com/mapbox/mapbox-gl-js
metafizzy,zdog,10500,https://github.com/metafizzy/zdog
nerfstudio-project,nerfstudio,10000,https://github.com/nerfstudio-project/nerfstudio
DavidHDev,react-bits,10000,https://github.com/DavidHDev/react-bits
timzhang642,3D-Machine-Learning,9900,https://github.com/timzhang642/3D-Machine-Learning
microsoft,TRELLIS,8800,https://github.com/microsoft/TRELLIS
cocos,cocos-engine,8500,https://github.com/cocos/cocos-engine
