username,repository_name,stars,repository_url
public-apis,public-apis,335000,https://github.com/public-apis/public-apis
neovim,neovim,88300,https://github.com/neovim/neovim
fastapi,fastapi,82800,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,70800,https://github.com/hoppscotch/hoppscotch
strapi,strapi,65900,https://github.com/strapi/strapi
ocornut,imgui,64300,https://github.com/ocornut/imgui
meilisearch,meilisearch,50000,https://github.com/meilisearch/meilisearch
QuivrHQ,quivr,37600,https://github.com/QuivrHQ/quivr
trpc,trpc,36800,https://github.com/trpc/trpc
slatedocs,slate,36100,https://github.com/slatedocs/slate
Kong,insomnia,35900,https://github.com/Kong/insomnia
ccxt,ccxt,35400,https://github.com/ccxt/ccxt
httpie,cli,35200,https://github.com/httpie/cli
hasura,graphql-engine,31400,https://github.com/hasura/graphql-engine
mudler,LocalAI,31400,https://github.com/mudler/LocalAI
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
directus,directus,29700,https://github.com/directus/directus
encode,django-rest-framework,29000,https://github.com/encode/django-rest-framework
chatanywhere,GPT_API_free,28700,https://github.com/chatanywhere/GPT_API_free
YMFE,yapi,27500,https://github.com/YMFE/yapi
