username,repository_name,stars,repository_url
jwasham,coding-interview-university,314000,https://github.com/jwasham/coding-interview-university
TheAlgorithms,Python,199000,https://github.com/TheAlgorithms/Python
trekhleb,javascript-algorithms,191000,https://github.com/trekhleb/javascript-algorithms
CyC2018,CS-Notes,180000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,125000,https://github.com/yangshun/tech-interview-handbook
krahets,hello-algo,111000,https://github.com/krahets/hello-algo
kdn251,interviews,64099,https://github.com/kdn251/interviews
TheAlgorithms,Java,61200,https://github.com/TheAlgorithms/Java
youngyangyang04,leetcode-master,55200,https://github.com/youngyangyang04/leetcode-master
azl397985856,leetcode,55200,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,47300,https://github.com/algorithm-visualizer/algorithm-visualizer
huihut,interview,35800,https://github.com/huihut/interview
halfrost,LeetCode-Go,33400,https://github.com/halfrost/LeetCode-Go
TheAlgorithms,JavaScript,33000,https://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,31500,https://github.com/TheAlgorithms/C-Plus-Plus
donnemartin,interactive-coding-challenges,30100,https://github.com/donnemartin/interactive-coding-challenges
crossoverJie,JCSprout,27100,https://github.com/crossoverJie/JCSprout
AtsushiSakai,PythonRobotics,24600,https://github.com/AtsushiSakai/PythonRobotics
keon,algorithms,24400,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,23900,https://github.com/mxgmn/WaveFunctionCollapse
