username,repository_name,stars,repository_url
bregman-arie,devops-exercises,72800,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,71400,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,58300,https://github.com/localstack/localstack
serverless,serverless,46600,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,28000,https://github.com/donnemartin/data-science-ipython-notebooks
danny-avila,LibreChat,24000,https://github.com/danny-avila/LibreChat
pulumi,pulumi,22800,https://github.com/pulumi/pulumi
getsops,sops,18100,https://github.com/getsops/sops
kubernetes-sigs,kubespray,16800,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15900,https://github.com/aws/aws-cli
milanm,DevOps-Roadmap,15400,https://github.com/milanm/DevOps-Roadmap
ramitsurana,awesome-kubernetes,15300,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,13800,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,13400,https://github.com/GoogleCloudPlatform/terraformer
donnemartin,awesome-aws,12800,https://github.com/donnemartin/awesome-aws
aws,aws-cdk,12100,https://github.com/aws/aws-cdk
prowler-cloud,prowler,11400,https://github.com/prowler-cloud/prowler
infracost,infracost,11400,https://github.com/infracost/infracost
apereo,cas,11100,https://github.com/apereo/cas
aws,chalice,10800,https://github.com/aws/chalice
