username,repository_name,stars,repository_url
amphp,amp,4300,https://github.com/amphp/amp
danog,MadelineProto,3000,https://github.com/danog/MadelineProto
amphp,parallel,809,https://github.com/amphp/parallel
unreal4u,telegram-api,795,https://github.com/unreal4u/telegram-api
amphp,http-client,713,https://github.com/amphp/http-client
amphp,byte-stream,378,https://github.com/amphp/byte-stream
amphp,mysql,370,https://github.com/amphp/mysql
php-service-bus,service-bus,347,https://github.com/php-service-bus/service-bus
amphp,parallel-functions,272,https://github.com/amphp/parallel-functions
xtrime-ru,TelegramRSS,264,https://github.com/xtrime-ru/TelegramRSS
amphp,socket,244,https://github.com/amphp/socket
amphp,process,239,https://github.com/amphp/process
amphp,sync,172,https://github.com/amphp/sync
amphp,dns,171,https://github.com/amphp/dns
amphp,redis,163,https://github.com/amphp/redis
amphp,websocket-client,152,https://github.com/amphp/websocket-client
amphp,serialization,120,https://github.com/amphp/serialization
kelunik,acme,120,https://github.com/kelunik/acme
amphp,websocket-server,119,https://github.com/amphp/websocket-server
amphp,cache,110,https://github.com/amphp/cache
