username,repository_name,stars,repository_url
flutter,flutter,169000,https://github.com/flutter/flutter
facebook,react-native,121000,https://github.com/facebook/react-native
Genymobile,scrcpy,120000,https://github.com/Genymobile/scrcpy
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
Hack-with-Github,Awesome-Hacking,90700,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,55300,https://github.com/Solido/awesome-flutter
tldr-pages,tldr,54500,https://github.com/tldr-pages/tldr
wasabeef,awesome-android-ui,52000,https://github.com/wasabeef/awesome-android-ui
google,material-design-icons,51300,https://github.com/google/material-design-icons
laurent22,joplin,48500,https://github.com/laurent22/joplin
appwrite,appwrite,47900,https://github.com/appwrite/appwrite
square,okhttp,46300,https://github.com/square/okhttp
android,architecture-samples,44900,https://github.com/android/architecture-samples
square,retrofit,43400,https://github.com/square/retrofit
skylot,jadx,43400,https://github.com/skylot/jadx
dcloudio,uni-app,40600,https://github.com/dcloudio/uni-app
termux,termux-app,40200,https://github.com/termux/termux-app
fastlane,fastlane,40000,https://github.com/fastlane/fastlane
2dust,v2rayNG,39500,https://github.com/2dust/v2rayNG
KRTirtho,spotube,39300,https://github.com/KRTirtho/spotube
