username,repository_name,stars,repository_url
justjavac,free-programming-books-zh_CN,113000,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,97400,https://github.com/angular/angular
storybookjs,storybook,86300,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,65000,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,51600,https://github.com/ionic-team/ionic-framework
prettier,prettier,50200,https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,44200,https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,35500,https://github.com/SheetJS/sheetjs
wailsapp,wails,27500,https://github.com/wailsapp/wails
angular,angular-cli,26900,https://github.com/angular/angular-cli
paperless-ngx,paperless-ngx,26100,https://github.com/paperless-ngx/paperless-ngx
sudheerj,javascript-interview-questions,25400,https://github.com/sudheerj/javascript-interview-questions
nrwl,nx,25100,https://github.com/nrwl/nx
NativeScript,NativeScript,24700,https://github.com/NativeScript/NativeScript
angular,components,24600,https://github.com/angular/components
goldbergyoni,javascript-testing-best-practices,24300,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,22200,https://github.com/pubkey/rxdb
jhipster,generator-jhipster,21800,https://github.com/jhipster/generator-jhipster
teambit,bit,18000,https://github.com/teambit/bit
jasontaylordev,CleanArchitecture,17800,https://github.com/jasontaylordev/CleanArchitecture
