username,repository_name,stars,repository_url
arendst,Tasmota,23000,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,16600,https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,16100,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,14500,https://github.com/espressif/arduino-esp32
arduino,Arduino,14300,https://github.com/arduino/Arduino
SpacehuhnTech,esp8266_deauther,13900,https://github.com/SpacehuhnTech/esp8266_deauther
rwaldron,johnny-five,13300,https://github.com/rwaldron/johnny-five
gurugio,lowlevelprogramming-university,11800,https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,9100,https://github.com/hybridgroup/gobot
platformio,platformio-core,8200,https://github.com/platformio/platformio-core
justcallmekoko,ESP32Marauder,7200,https://github.com/justcallmekoko/ESP32Marauder
bblanchon,ArduinoJson,6900,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,6800,https://github.com/tzapu/WiFiManager
ggerganov,ggwave,6300,https://github.com/ggerganov/ggwave
olikraus,u8g2,5500,https://github.com/olikraus/u8g2
Serial-Studio,Serial-Studio,5400,https://github.com/Serial-Studio/Serial-Studio
omriharel,deej,5000,https://github.com/omriharel/deej
ClemensElflein,OpenMower,4800,https://github.com/ClemensElflein/OpenMower
Arduino-IRremote,Arduino-IRremote,4700,https://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,4500,https://github.com/arduino/arduino-cli
