username,repository_name,stars,repository_url
sindresorhus,awesome,354000,https://github.com/sindresorhus/awesome
vinta,awesome-python,239000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,223000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,162000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,141000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,101000,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,92100,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,90700,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,81600,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,74100,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,72800,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,67500,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,62700,https://github.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,61200,https://github.com/binhnguyennus/awesome-scalability
sindresorhus,awesome-nodejs,60400,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,59800,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,55300,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,52000,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,50200,https://github.com/tiimgreen/github-cheat-sheet
rust-unofficial,awesome-rust,49600,https://github.com/rust-unofficial/awesome-rust
