username,repository_name,stars,repository_url
microsoft,generative-ai-for-beginners,77500,https://github.com/microsoft/generative-ai-for-beginners
bregman-arie,devops-exercises,72800,https://github.com/bregman-arie/devops-exercises
danny-avila,LibreChat,24000,https://github.com/danny-avila/LibreChat
pulumi,pulumi,22800,https://github.com/pulumi/pulumi
getsops,sops,18100,https://github.com/getsops/sops
milanm,DevOps-Roadmap,15400,https://github.com/milanm/DevOps-Roadmap
ramitsurana,awesome-kubernetes,15300,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,14300,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,13800,https://github.com/caprover/caprover
prowler-cloud,prowler,11400,https://github.com/prowler-cloud/prowler
infracost,infracost,11400,https://github.com/infracost/infracost
budtmo,docker-android,10500,https://github.com/budtmo/docker-android
google,go-cloud,9600,https://github.com/google/go-cloud
microsoft,computervision-recipes,9600,https://github.com/microsoft/computervision-recipes
Netflix,metaflow,8700,https://github.com/Netflix/metaflow
YSGStudyHards,DotNetGuide,8000,https://github.com/YSGStudyHards/DotNetGuide
microsoft,azuredatastudio,7700,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7500,https://github.com/midwayjs/midway
bridgecrewio,checkov,7500,https://github.com/bridgecrewio/checkov
thangchung,clean-code-dotnet,7400,https://github.com/thangchung/clean-code-dotnet
