username,repository_name,stars,repository_url
jlevy,the-art-of-command-line,155000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,83200,https://github.com/nvm-sh/nvm
junegunn,fzf,69100,https://github.com/junegunn/fzf
starship,starship,47900,https://github.com/starship/starship
google,zx,43800,https://github.com/google/zx
LeCoupa,awesome-cheatsheets,42000,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,42000,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,37200,https://github.com/koalaman/shellcheck
dylanaraps,pure-bash-bible,36900,https://github.com/dylanaraps/pure-bash-bible
alebcay,awesome-shell,34000,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,33000,https://github.com/jaywcjlove/linux-command
mathiasbynens,dotfiles,30700,https://github.com/mathiasbynens/dotfiles
kingToolbox,WindTerm,25800,https://github.com/kingToolbox/WindTerm
ajeetdsouza,zoxide,25700,https://github.com/ajeetdsouza/zoxide
withfig,autocomplete,24800,https://github.com/withfig/autocomplete
asdf-vm,asdf,23300,https://github.com/asdf-vm/asdf
atuinsh,atuin,23100,https://github.com/atuinsh/atuin
warpdotdev,Warp,23000,https://github.com/warpdotdev/Warp
dylanaraps,neofetch,22700,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,19700,https://github.com/Nyr/openvpn-install
