username,repository_name,stars,repository_url
ccxt,ccxt,35400,https://github.com/ccxt/ccxt
feder-cr,Jobs_Applier_AI_Agent_AIHawk,27800,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
python-telegram-bot,python-telegram-bot,27200,https://github.com/python-telegram-bot/python-telegram-bot
discordjs,discord.js,25800,https://github.com/discordjs/discord.js
wechaty,wechaty,21300,https://github.com/wechaty/wechaty
RasaHQ,rasa,19900,https://github.com/RasaHQ/rasa
InstaPy,InstaPy,17200,https://github.com/InstaPy/InstaPy
hubotio,hubot,16700,https://github.com/hubotio/hubot
pedroslopez,whatsapp-web.js,16500,https://github.com/pedroslopez/whatsapp-web.js
leon-ai,leon,16100,https://github.com/leon-ai/leon
Rapptz,discord.py,15300,https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,15100,https://github.com/tgbot-collection/YYeTsBot
lss233,kirara-ai,14900,https://github.com/lss233/kirara-ai
gunthercox,ChatterBot,14300,https://github.com/gunthercox/ChatterBot
hummingbot,hummingbot,12100,https://github.com/hummingbot/hummingbot
howdyai,botkit,11500,https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,10500,https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,10100,https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,8700,https://github.com/yagop/node-telegram-bot-api
telegraf,telegraf,8600,https://github.com/telegraf/telegraf
