username,repository_name,stars,repository_url
practical-tutorials,project-based-learning,223000,https://github.com/practical-tutorials/project-based-learning
CyC2018,CS-Notes,180000,https://github.com/CyC2018/CS-Notes
fffaraz,awesome-cpp,62700,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,55200,https://github.com/youngyangyang04/leetcode-master
azl397985856,leetcode,55200,https://github.com/azl397985856/leetcode
WerWolv,ImHex,47700,https://github.com/WerWolv/ImHex
Light-City,CPlusPlusThings,40700,https://github.com/Light-City/CPlusPlusThings
ClickHouse,ClickHouse,39800,https://github.com/ClickHouse/ClickHouse
huihut,interview,35800,https://github.com/huihut/interview
doocs,leetcode,33500,https://github.com/doocs/leetcode
carbon-language,carbon-lang,32800,https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,32200,https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,31500,https://github.com/TheAlgorithms/C-Plus-Plus
aseprite,aseprite,31500,https://github.com/aseprite/aseprite
microsoft,calculator,30200,https://github.com/microsoft/calculator
dragonflydb,dragonfly,27600,https://github.com/dragonflydb/dragonfly
gabime,spdlog,25700,https://github.com/gabime/spdlog
changkun,modern-cpp-tutorial,24600,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,24400,https://github.com/microsoft/vcpkg
ethereum,solidity,24200,https://github.com/ethereum/solidity
