username,repository_name,stars,repository_url
Genymobile,scrcpy,120000,https://github.com/Genymobile/scrcpy
neovim,neovim,88300,https://github.com/neovim/neovim
obsproject,obs-studio,63200,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,62700,https://github.com/fffaraz/awesome-cpp
git,git,54100,https://github.com/git/git
FFmpeg,FFmpeg,48800,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,43400,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,37900,https://github.com/vim/vim
curl,curl,37300,https://github.com/curl/curl
huihut,interview,35800,https://github.com/huihut/interview
mpv-player,mpv,30200,https://github.com/mpv-player/mpv
kovidgoyal,kitty,26900,https://github.com/kovidgoyal/kitty
ossrs,srs,26700,https://github.com/ossrs/srs
ggreer,the_silver_searcher,26400,https://github.com/ggreer/the_silver_searcher
raysan5,raylib,25700,https://github.com/raysan5/raylib
microsoft,vcpkg,24400,https://github.com/microsoft/vcpkg
google,flatbuffers,24000,https://github.com/google/flatbuffers
ruby,ruby,22500,https://github.com/ruby/ruby
hashcat,hashcat,22300,https://github.com/hashcat/hashcat
forthespada,CS-Books,22200,https://github.com/forthespada/CS-Books
