username,repository_name,stars,repository_url
jaywcjlove,linux-command,33000,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,26200,https://github.com/refined-github/refined-github
openai-translator,openai-translator,24300,https://github.com/openai-translator/openai-translator
darkreader,darkreader,20500,https://github.com/darkreader/darkreader
dailydotdev,daily,19300,https://github.com/dailydotdev/daily
gildas-lormeau,SingleFile,17200,https://github.com/gildas-lormeau/SingleFile
AutomaApp,automa,16200,https://github.com/AutomaApp/automa
checkly,headless-recorder,15100,https://github.com/checkly/headless-recorder
immersive-translate,immersive-translate,15100,https://github.com/immersive-translate/immersive-translate
unbug,codelf,14200,https://github.com/unbug/codelf
alyssaxuu,screenity,13900,https://github.com/alyssaxuu/screenity
wong2,chatgpt-google-extension,13200,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,13000,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,12400,https://github.com/crimx/ext-saladict
xifangczy,cat-catch,12200,https://github.com/xifangczy/cat-catch
listen1,listen1_chrome_extension,11700,https://github.com/listen1/listen1_chrome_extension
PlasmoHQ,plasmo,11500,https://github.com/PlasmoHQ/plasmo
ajayyy,SponsorBlock,11100,https://github.com/ajayyy/SponsorBlock
josStorer,chatGPTBox,10500,https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,10200,https://github.com/chathub-dev/chathub
