username,repository_name,stars,repository_url
ohmyzsh,ohmyzsh,177000,https://github.com/ohmyzsh/ohmyzsh
n8n-io,n8n,73900,https://github.com/n8n-io/n8n
junegunn,fzf,69100,https://github.com/junegunn/fzf
sherlock-project,sherlock,63400,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,58300,https://github.com/jesseduffield/lazygit
sharkdp,bat,52000,https://github.com/sharkdp/bat
All-Hands-AI,OpenHands,51800,https://github.com/All-Hands-AI/OpenHands
BurntSushi,ripgrep,51400,https://github.com/BurntSushi/ripgrep
wagoodman,dive,50100,https://github.com/wagoodman/dive
google,zx,43800,https://github.com/google/zx
spf13,cobra,40000,https://github.com/spf13/cobra
chubin,cheat.sh,39200,https://github.com/chubin/cheat.sh
ultralytics,ultralytics,38900,https://github.com/ultralytics/ultralytics
cli,cli,38700,https://github.com/cli/cli
sharkdp,fd,37300,https://github.com/sharkdp/fd
httpie,cli,35200,https://github.com/httpie/cli
alebcay,awesome-shell,34000,https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,31800,https://github.com/ibraheemdev/modern-unix
Aider-AI,aider,30400,https://github.com/Aider-AI/aider
charmbracelet,bubbletea,30400,https://github.com/charmbracelet/bubbletea
