username,repository_name,stars,repository_url
vercel,next.js,131000,https://github.com/vercel/next.js
rust-lang,rust,102000,https://github.com/rust-lang/rust
sveltejs,svelte,82100,https://github.com/sveltejs/svelte
webpack,webpack,65200,https://github.com/webpack/webpack
FuelLabs,sway,62400,https://github.com/FuelLabs/sway
gatsbyjs,gatsby,55800,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,50300,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,43700,https://github.com/parcel-bundler/parcel
babel,babel,43500,https://github.com/babel/babel
evanw,esbuild,38800,https://github.com/evanw/esbuild
typst,typst,38700,https://github.com/typst/typst
ziglang,zig,38300,https://github.com/ziglang/zig
vlang,v,36200,https://github.com/vlang/v
markedjs,marked,34300,https://github.com/markedjs/marked
carbon-language,carbon-lang,32800,https://github.com/carbon-language/carbon-lang
swc-project,swc,32000,https://github.com/swc-project/swc
vercel,pkg,24400,https://github.com/vercel/pkg
v8,v8,24000,https://github.com/v8/v8
oracle,graal,20700,https://github.com/oracle/graal
RustPython,RustPython,19800,https://github.com/RustPython/RustPython
