username,repository_name,stars,repository_url
bitcoin,bitcoin,82700,https://github.com/bitcoin/bitcoin
freqtrade,freqtrade,37700,https://github.com/freqtrade/freqtrade
ccxt,ccxt,35400,https://github.com/ccxt/ccxt
dogecoin,dogecoin,14900,https://github.com/dogecoin/dogecoin
hummingbot,hummingbot,12100,https://github.com/hummingbot/hummingbot
monero-project,monero,9300,https://github.com/monero-project/monero
xmrig,xmrig,9100,https://github.com/xmrig/xmrig
dvf,blockchain,7900,https://github.com/dvf/blockchain
StockSharp,StockSharp,7900,https://github.com/StockSharp/StockSharp
lightningnetwork,lnd,7900,https://github.com/lightningnetwork/lnd
kroma-network,tachyon,7800,https://github.com/kroma-network/tachyon
firmai,financial-machine-learning,7700,https://github.com/firmai/financial-machine-learning
lbryio,lbry-sdk,7200,https://github.com/lbryio/lbry-sdk
sammchardy,python-binance,6500,https://github.com/sammchardy/python-binance
cosmos,cosmos-sdk,6500,https://github.com/cosmos/cosmos-sdk
jesse-ai,jesse,6200,https://github.com/jesse-ai/jesse
tendermint,tendermint,5800,https://github.com/tendermint/tendermint
chrisleekr,binance-trading-bot,5300,https://github.com/chrisleekr/binance-trading-bot
sea-protocol,seaprotocol,5100,https://github.com/sea-protocol/seaprotocol
mimblewimble,grin,5100,https://github.com/mimblewimble/grin
