username,repository_name,stars,repository_url
crystal-lang,crystal,19700,https://github.com/crystal-lang/crystal
kemalcr,kemal,3700,https://github.com/kemalcr/kemal
veelenga,awesome-crystal,3400,https://github.com/veelenga/awesome-crystal
luckyframework,lucky,2600,https://github.com/luckyframework/lucky
amberframework,amber,2600,https://github.com/amberframework/amber
vitobotta,hetzner-k3s,2300,https://github.com/vitobotta/hetzner-k3s
getmango,Mango,1800,https://github.com/getmango/Mango
ffwff,lilith,1200,https://github.com/ffwff/lilith
drujensen,fib,887,https://github.com/drujensen/fib
hanabi1224,Programming-Language-Benchmarks,705,https://github.com/hanabi1224/Programming-Language-Benchmarks
owasp-noir,noir,678,https://github.com/owasp-noir/noir
amethyst-framework,amethyst,646,https://github.com/amethyst-framework/amethyst
askn,crystal-by-example,555,https://github.com/askn/crystal-by-example
crystal-ameba,ameba,527,https://github.com/crystal-ameba/ameba
crystal-community,icr,505,https://github.com/crystal-community/icr
elbywan,crystalline,467,https://github.com/elbywan/crystalline
will,crystal-pg,466,https://github.com/will/crystal-pg
martenframework,marten,435,https://github.com/martenframework/marten
imdrasil,jennifer.cr,422,https://github.com/imdrasil/jennifer.cr
vim-crystal,vim-crystal,422,https://github.com/vim-crystal/vim-crystal
